country,country_code_2_digit,country_code_3_digit,population,reported_date,hospital_occupancy_count,icu_occupancy_count,source
Iceland,IS,ISL,356991,2020-07-11,0,0,Surveillance
Ireland,IE,IRL,4904240,2020-07-11,13,10,Country_Website
Italy,IT,ITA,60359546,2020-07-11,893,67,Country_Github
Latvia,LV,LVA,1919968,2020-07-11,3,,Surveillance
Luxembourg,LU,LUX,613894,2020-07-11,36,3,Country_Website
Netherlands,NL,NLD,17282163,2020-07-11,,28,Other Website
Poland,PL,POL,37972812,2020-07-11,1617,,Surveillance
Portugal,PT,PRT,10276617,2020-07-11,459,68,Country_Website
Romania,RO,ROU,19414458,2020-07-11,,239,Country_Website
Slovakia,SK,SVK,5450421,2020-07-11,13,,JRC
Slovenia,SI,SVN,2080908,2020-07-11,16,0,Country_Github
United Kingdom,UK,GBR,66647112,2020-07-11,1947,,Country_Website
Austria,AT,AUT,8858775,2020-07-10,80,9,Country_Website
Belgium,BE,BEL,11455519,2020-07-10,143,32,Country_Website
Bulgaria,BG,BGR,7000039,2020-07-10,525,28,External_Github
Croatia,HR,HRV,4076246,2020-07-10,104,,Country_Website
Czechia,CZ,CZE,10649800,2020-07-10,68,15,Country_Website
Denmark,DK,DNK,5806081,2020-07-10,17,4,Country_Website
Estonia,EE,EST,1324820,2020-07-10,4,2,Country_API
Finland,FI,FIN,5517919,2020-07-10,6,0,External_Github
France,FR,FRA,67012883,2020-07-10,7020,471,Country_Website
Hungary,HU,HUN,9772756,2020-07-10,133,6,JRC
Iceland,IS,ISL,356991,2020-07-10,0,0,Surveillance
Ireland,IE,IRL,4904240,2020-07-10,11,9,Country_Website
Italy,IT,ITA,60359546,2020-07-10,909,65,Country_Github
Latvia,LV,LVA,1919968,2020-07-10,3,,Surveillance
Luxembourg,LU,LUX,613894,2020-07-10,31,2,Country_Website
Netherlands,NL,NLD,17282163,2020-07-10,,30,Other Website
Norway,NO,NOR,5328212,2020-07-10,4,,Country_API
Poland,PL,POL,37972812,2020-07-10,1597,,Surveillance
Portugal,PT,PRT,10276617,2020-07-10,471,66,Country_Website
Romania,RO,ROU,19414458,2020-07-10,,236,Country_Website
Slovakia,SK,SVK,5450421,2020-07-10,13,,JRC
Slovenia,SI,SVN,2080908,2020-07-10,16,0,Country_Github
United Kingdom,UK,GBR,66647112,2020-07-10,2095,,Country_Website
Austria,AT,AUT,8858775,2020-07-09,78,12,Country_Website
Belgium,BE,BEL,11455519,2020-07-09,160,36,Country_Website
Bulgaria,BG,BGR,7000039,2020-07-09,498,29,External_Github
Croatia,HR,HRV,4076246,2020-07-09,100,,Country_Website
Czechia,CZ,CZE,10649800,2020-07-09,72,15,Country_Website
Denmark,DK,DNK,5806081,2020-07-09,18,5,Country_Website
Estonia,EE,EST,1324820,2020-07-09,5,2,Country_API
France,FR,FRA,67012883,2020-07-09,7134,486,Country_Website
Hungary,HU,HUN,9772756,2020-07-09,131,6,JRC
Iceland,IS,ISL,356991,2020-07-09,0,0,Surveillance
Ireland,IE,IRL,4904240,2020-07-09,13,9,Country_Website
Italy,IT,ITA,60359546,2020-07-09,940,69,Country_Github
Latvia,LV,LVA,1919968,2020-07-09,4,,Surveillance
Luxembourg,LU,LUX,613894,2020-07-09,27,3,Country_Website
Netherlands,NL,NLD,17282163,2020-07-09,,29,Other Website
Norway,NO,NOR,5328212,2020-07-09,8,,Country_API
Poland,PL,POL,37972812,2020-07-09,1687,,Surveillance
Portugal,PT,PRT,10276617,2020-07-09,487,73,Country_Website
Romania,RO,ROU,19414458,2020-07-09,,240,Country_Website
Slovakia,SK,SVK,5450421,2020-07-09,10,,JRC
Slovenia,SI,SVN,2080908,2020-07-09,15,0,Country_Github
United Kingdom,UK,GBR,66647112,2020-07-09,2180,,Country_Website
Austria,AT,AUT,8858775,2020-07-08,77,11,Country_Website
Belgium,BE,BEL,11455519,2020-07-08,165,32,Country_Website
Bulgaria,BG,BGR,7000039,2020-07-08,483,32,External_Github
Croatia,HR,HRV,4076246,2020-07-08,91,,Country_Website
Czechia,CZ,CZE,10649800,2020-07-08,85,10,Country_Website
Denmark,DK,DNK,5806081,2020-07-08,18,5,Country_Website
Estonia,EE,EST,1324820,2020-07-08,3,1,Country_API
Finland,FI,FIN,5517919,2020-07-08,19,2,External_Github
France,FR,FRA,67012883,2020-07-08,7254,503,Country_Website
Hungary,HU,HUN,9772756,2020-07-08,132,6,JRC
Iceland,IS,ISL,356991,2020-07-08,0,0,Surveillance
Ireland,IE,IRL,4904240,2020-07-08,12,9,Country_Website
Italy,IT,ITA,60359546,2020-07-08,970,71,Country_Github
Latvia,LV,LVA,1919968,2020-07-08,5,,Surveillance
Luxembourg,LU,LUX,613894,2020-07-08,26,2,Country_Website
Netherlands,NL,NLD,17282163,2020-07-08,,29,Other Website
Norway,NO,NOR,5328212,2020-07-08,8,,Country_API
Poland,PL,POL,37972812,2020-07-08,1683,,Surveillance
Portugal,PT,PRT,10276617,2020-07-08,512,74,Country_Website
Slovakia,SK,SVK,5450421,2020-07-08,10,,JRC
Slovenia,SI,SVN,2080908,2020-07-08,14,0,Country_Github
United Kingdom,UK,GBR,66647112,2020-07-08,2259,,Country_Website
Austria,AT,AUT,8858775,2020-07-07,91,10,Country_Website
Belgium,BE,BEL,11455519,2020-07-07,178,32,Country_Website
Bulgaria,BG,BGR,7000039,2020-07-07,470,29,External_Github
Croatia,HR,HRV,4076246,2020-07-07,89,,Country_Website
Czechia,CZ,CZE,10649800,2020-07-07,77,11,Country_Website
Denmark,DK,DNK,5806081,2020-07-07,17,5,Country_Website
Estonia,EE,EST,1324820,2020-07-07,3,1,Country_API
France,FR,FRA,67012883,2020-07-07,7550,511,Country_Website
Hungary,HU,HUN,9772756,2020-07-07,142,7,JRC
Iceland,IS,ISL,356991,2020-07-07,0,0,Surveillance
Ireland,IE,IRL,4904240,2020-07-07,20,9,Country_Website
Italy,IT,ITA,60359546,2020-07-07,1010,70,Country_Github
Latvia,LV,LVA,1919968,2020-07-07,5,,Surveillance
Luxembourg,LU,LUX,613894,2020-07-07,24,1,Country_Website
Netherlands,NL,NLD,17282163,2020-07-07,,32,Other Website
Norway,NO,NOR,5328212,2020-07-07,9,,Country_API
Poland,PL,POL,37972812,2020-07-07,1658,,Surveillance
Portugal,PT,PRT,10276617,2020-07-07,511,76,Country_Website
Romania,RO,ROU,19414458,2020-07-07,,231,Country_Website
Slovakia,SK,SVK,5450421,2020-07-07,12,,JRC
Slovenia,SI,SVN,2080908,2020-07-07,12,0,Country_Github
United Kingdom,UK,GBR,66647112,2020-07-07,2398,,Country_Website
Austria,AT,AUT,8858775,2020-07-06,78,11,Country_Website
Belgium,BE,BEL,11455519,2020-07-06,169,27,Country_Website
Bulgaria,BG,BGR,7000039,2020-07-06,458,28,External_Github
Croatia,HR,HRV,4076246,2020-07-06,90,,Country_Website
Czechia,CZ,CZE,10649800,2020-07-06,69,10,Country_Website
Denmark,DK,DNK,5806081,2020-07-06,23,7,Country_Website
Estonia,EE,EST,1324820,2020-07-06,3,1,Country_API
Finland,FI,FIN,5517919,2020-07-06,19,1,External_Github
France,FR,FRA,67012883,2020-07-06,7806,521,Country_Website
Hungary,HU,HUN,9772756,2020-07-06,144,8,JRC
Iceland,IS,ISL,356991,2020-07-06,0,0,Surveillance
Ireland,IE,IRL,4904240,2020-07-06,19,10,Country_Website
Italy,IT,ITA,60359546,2020-07-06,1018,72,Country_Github
Latvia,LV,LVA,1919968,2020-07-06,5,,Surveillance
Luxembourg,LU,LUX,613894,2020-07-06,22,3,Country_Website
Netherlands,NL,NLD,17282163,2020-07-06,,34,Other Website
Norway,NO,NOR,5328212,2020-07-06,11,,Country_API
Poland,PL,POL,37972812,2020-07-06,1790,,Surveillance
Portugal,PT,PRT,10276617,2020-07-06,513,74,Country_Website
Romania,RO,ROU,19414458,2020-07-06,,227,Country_Website
Slovakia,SK,SVK,5450421,2020-07-06,11,,JRC
Slovenia,SI,SVN,2080908,2020-07-06,11,0,Country_Github
United Kingdom,UK,GBR,66647112,2020-07-06,2500,,Country_Website
Austria,AT,AUT,8858775,2020-07-05,72,10,Country_Website
Belgium,BE,BEL,11455519,2020-07-05,170,30,Country_Website
Bulgaria,BG,BGR,7000039,2020-07-05,463,29,External_Github
Croatia,HR,HRV,4076246,2020-07-05,93,,Country_Website
Czechia,CZ,CZE,10649800,2020-07-05,73,13,Country_Website
Denmark,DK,DNK,5806081,2020-07-05,24,6,Country_Website
Estonia,EE,EST,1324820,2020-07-05,3,1,Country_API
France,FR,FRA,67012883,2020-07-05,7863,521,Country_Website
Hungary,HU,HUN,9772756,2020-07-05,144,8,JRC
Iceland,IS,ISL,356991,2020-07-05,0,0,Surveillance
Ireland,IE,IRL,4904240,2020-07-05,20,10,Country_Website
Italy,IT,ITA,60359546,2020-07-05,1019,74,Country_Github
Latvia,LV,LVA,1919968,2020-07-05,5,,Surveillance
Luxembourg,LU,LUX,613894,2020-07-05,20,3,Country_Website
Netherlands,NL,NLD,17282163,2020-07-05,,34,Other Website
Poland,PL,POL,37972812,2020-07-05,1765,,Surveillance
Portugal,PT,PRT,10276617,2020-07-05,504,73,Country_Website
Romania,RO,ROU,19414458,2020-07-05,,215,Country_Website
Slovakia,SK,SVK,5450421,2020-07-05,11,,JRC
Slovenia,SI,SVN,2080908,2020-07-05,6,0,Country_Github
United Kingdom,UK,GBR,66647112,2020-07-05,2553,,Country_Website
Austria,AT,AUT,8858775,2020-07-04,68,8,Country_Website
Belgium,BE,BEL,11455519,2020-07-04,170,29,Country_Website
Bulgaria,BG,BGR,7000039,2020-07-04,450,29,External_Github
Croatia,HR,HRV,4076246,2020-07-04,85,,Country_Website
Czechia,CZ,CZE,10649800,2020-07-04,70,13,Country_Website
Denmark,DK,DNK,5806081,2020-07-04,26,6,Country_Website
Estonia,EE,EST,1324820,2020-07-04,3,1,Country_API
France,FR,FRA,67012883,2020-07-04,7863,517,Country_Website
Hungary,HU,HUN,9772756,2020-07-04,140,8,JRC
Iceland,IS,ISL,356991,2020-07-04,0,0,Surveillance
Ireland,IE,IRL,4904240,2020-07-04,22,11,Country_Website
Italy,IT,ITA,60359546,2020-07-04,1011,71,Country_Github
Latvia,LV,LVA,1919968,2020-07-04,5,,Surveillance
Luxembourg,LU,LUX,613894,2020-07-04,24,3,Country_Website
Malta,MT,MLT,493559,2020-07-04,,0,Surveillance
Netherlands,NL,NLD,17282163,2020-07-04,,36,Other Website
Poland,PL,POL,37972812,2020-07-04,1731,,Surveillance
Portugal,PT,PRT,10276617,2020-07-04,489,73,Country_Website
Romania,RO,ROU,19414458,2020-07-04,,223,Country_Website
Slovakia,SK,SVK,5450421,2020-07-04,9,,JRC
Slovenia,SI,SVN,2080908,2020-07-04,6,0,Country_Github
United Kingdom,UK,GBR,66647112,2020-07-04,2592,,Country_Website
Austria,AT,AUT,8858775,2020-07-03,72,7,Country_Website
Belgium,BE,BEL,11455519,2020-07-03,168,32,Country_Website
Bulgaria,BG,BGR,7000039,2020-07-03,443,31,External_Github
Croatia,HR,HRV,4076246,2020-07-03,88,,Country_Website
Czechia,CZ,CZE,10649800,2020-07-03,71,11,Country_Website
Denmark,DK,DNK,5806081,2020-07-03,27,6,Country_Website
Estonia,EE,EST,1324820,2020-07-03,3,1,Country_API
Finland,FI,FIN,5517919,2020-07-03,20,0,External_Github
France,FR,FRA,67012883,2020-07-03,7946,533,Country_Website
Hungary,HU,HUN,9772756,2020-07-03,150,9,JRC
Iceland,IS,ISL,356991,2020-07-03,0,0,Surveillance
Ireland,IE,IRL,4904240,2020-07-03,20,10,Country_Website
Italy,IT,ITA,60359546,2020-07-03,1035,79,Country_Github
Latvia,LV,LVA,1919968,2020-07-03,4,,Surveillance
Luxembourg,LU,LUX,613894,2020-07-03,17,3,Country_Website
Malta,MT,MLT,493559,2020-07-03,,0,Surveillance
Netherlands,NL,NLD,17282163,2020-07-03,,35,Other Website
Norway,NO,NOR,5328212,2020-07-03,15,,Country_API
Poland,PL,POL,37972812,2020-07-03,1743,,Surveillance
Portugal,PT,PRT,10276617,2020-07-03,495,72,Country_Website
Romania,RO,ROU,19414458,2020-07-03,,224,Country_Website
Slovakia,SK,SVK,5450421,2020-07-03,9,,JRC
Slovenia,SI,SVN,2080908,2020-07-03,10,0,Country_Github
United Kingdom,UK,GBR,66647112,2020-07-03,2724,,Country_Website
Austria,AT,AUT,8858775,2020-07-02,69,7,Country_Website
Belgium,BE,BEL,11455519,2020-07-02,187,35,Country_Website
Bulgaria,BG,BGR,7000039,2020-07-02,446,32,External_Github
Croatia,HR,HRV,4076246,2020-07-02,84,,Country_Website
Czechia,CZ,CZE,10649800,2020-07-02,72,11,Country_Website
Denmark,DK,DNK,5806081,2020-07-02,29,9,Country_Website
Estonia,EE,EST,1324820,2020-07-02,2,1,Country_API
France,FR,FRA,67012883,2020-07-02,8103,545,Country_Website
Hungary,HU,HUN,9772756,2020-07-02,157,8,JRC
Iceland,IS,ISL,356991,2020-07-02,0,0,Surveillance
Ireland,IE,IRL,4904240,2020-07-02,18,10,Country_Website
Italy,IT,ITA,60359546,2020-07-02,1045,82,Country_Github
Latvia,LV,LVA,1919968,2020-07-02,4,,Surveillance
Luxembourg,LU,LUX,613894,2020-07-02,22,3,Country_Website
Malta,MT,MLT,493559,2020-07-02,,0,Surveillance
Netherlands,NL,NLD,17282163,2020-07-02,,38,Other Website
Norway,NO,NOR,5328212,2020-07-02,19,,Country_API
Poland,PL,POL,37972812,2020-07-02,1787,,Surveillance
Portugal,PT,PRT,10276617,2020-07-02,510,77,Country_Website
Romania,RO,ROU,19414458,2020-07-02,,237,Country_Website
Slovakia,SK,SVK,5450421,2020-07-02,14,,JRC
Slovenia,SI,SVN,2080908,2020-07-02,9,0,Country_Github
United Kingdom,UK,GBR,66647112,2020-07-02,2848,,Country_Website
Austria,AT,AUT,8858775,2020-07-01,74,9,Country_Website
Belgium,BE,BEL,11455519,2020-07-01,203,36,Country_Website
Bulgaria,BG,BGR,7000039,2020-07-01,435,32,External_Github
Croatia,HR,HRV,4076246,2020-07-01,80,,Country_Website
Czechia,CZ,CZE,10649800,2020-07-01,75,10,Country_Website
Denmark,DK,DNK,5806081,2020-07-01,29,11,Country_Website
Estonia,EE,EST,1324820,2020-07-01,3,1,Country_API
Finland,FI,FIN,5517919,2020-07-01,24,0,External_Github
France,FR,FRA,67012883,2020-07-01,8291,554,Country_Website
Hungary,HU,HUN,9772756,2020-07-01,169,8,JRC
Iceland,IS,ISL,356991,2020-07-01,0,0,Surveillance
Ireland,IE,IRL,4904240,2020-07-01,21,12,Country_Website
Italy,IT,ITA,60359546,2020-07-01,1112,87,Country_Github
Latvia,LV,LVA,1919968,2020-07-01,5,,Surveillance
Luxembourg,LU,LUX,613894,2020-07-01,16,2,Country_Website
Malta,MT,MLT,493559,2020-07-01,,1,Surveillance
Netherlands,NL,NLD,17282163,2020-07-01,,36,Other Website
Norway,NO,NOR,5328212,2020-07-01,17,,Country_API
Poland,PL,POL,37972812,2020-07-01,1923,,Surveillance
Portugal,PT,PRT,10276617,2020-07-01,503,79,Country_Website
Romania,RO,ROU,19414458,2020-07-01,,222,Country_Website
Slovakia,SK,SVK,5450421,2020-07-01,20,,JRC
Slovenia,SI,SVN,2080908,2020-07-01,8,0,Country_Github
United Kingdom,UK,GBR,66647112,2020-07-01,2969,,Country_Website
Austria,AT,AUT,8858775,2020-06-30,64,6,Country_Website
Belgium,BE,BEL,11455519,2020-06-30,222,37,Country_Website
Bulgaria,BG,BGR,7000039,2020-06-30,434,31,External_Github
Croatia,HR,HRV,4076246,2020-06-30,75,,Country_Website
Czechia,CZ,CZE,10649800,2020-06-30,71,11,Country_Website
Estonia,EE,EST,1324820,2020-06-30,4,1,Country_API
France,FR,FRA,67012883,2020-06-30,8491,574,Country_Website
Hungary,HU,HUN,9772756,2020-06-30,169,9,JRC
Iceland,IS,ISL,356991,2020-06-30,0,0,Surveillance
Ireland,IE,IRL,4904240,2020-06-30,21,13,Country_Website
Italy,IT,ITA,60359546,2020-06-30,1183,93,Country_Github
Latvia,LV,LVA,1919968,2020-06-30,7,,Surveillance
Luxembourg,LU,LUX,613894,2020-06-30,18,2,Country_Website
Malta,MT,MLT,493559,2020-06-30,,1,Surveillance
Netherlands,NL,NLD,17282163,2020-06-30,,40,Other Website
Norway,NO,NOR,5328212,2020-06-30,18,,Country_API
Poland,PL,POL,37972812,2020-06-30,1811,,Surveillance
Portugal,PT,PRT,10276617,2020-06-30,491,73,Country_Website
Romania,RO,ROU,19414458,2020-06-30,,205,Country_Website
Slovakia,SK,SVK,5450421,2020-06-30,19,,JRC
Slovenia,SI,SVN,2080908,2020-06-30,8,0,Country_Github
United Kingdom,UK,GBR,66647112,2020-06-30,3150,,Country_Website
Austria,AT,AUT,8858775,2020-06-29,74,8,Country_Website
Belgium,BE,BEL,11455519,2020-06-29,244,41,Country_Website
Bulgaria,BG,BGR,7000039,2020-06-29,423,25,External_Github
Croatia,HR,HRV,4076246,2020-06-29,65,,Country_Website
Czechia,CZ,CZE,10649800,2020-06-29,69,11,Country_Website
Estonia,EE,EST,1324820,2020-06-29,4,1,Country_API
Finland,FI,FIN,5517919,2020-06-29,23,0,External_Github
France,FR,FRA,67012883,2020-06-29,8643,591,Country_Website
Hungary,HU,HUN,9772756,2020-06-29,170,9,JRC
Iceland,IS,ISL,356991,2020-06-29,0,0,Surveillance
Ireland,IE,IRL,4904240,2020-06-29,22,12,Country_Website
Italy,IT,ITA,60359546,2020-06-29,1216,96,Country_Github
Latvia,LV,LVA,1919968,2020-06-29,7,,Surveillance
Luxembourg,LU,LUX,613894,2020-06-29,16,2,Country_Website
Malta,MT,MLT,493559,2020-06-29,,1,Surveillance
Netherlands,NL,NLD,17282163,2020-06-29,,41,Other Website
Norway,NO,NOR,5328212,2020-06-29,18,,Country_API
Poland,PL,POL,37972812,2020-06-29,1797,,Surveillance
Portugal,PT,PRT,10276617,2020-06-29,489,71,Country_Website
Slovakia,SK,SVK,5450421,2020-06-29,15,,JRC
Slovenia,SI,SVN,2080908,2020-06-29,8,0,Country_Github
United Kingdom,UK,GBR,66647112,2020-06-29,3495,,Country_Website
Austria,AT,AUT,8858775,2020-06-28,71,9,Country_Website
Belgium,BE,BEL,11455519,2020-06-28,237,36,Country_Website
Bulgaria,BG,BGR,7000039,2020-06-28,423,20,External_Github
Croatia,HR,HRV,4076246,2020-06-28,60,,Country_Website
Czechia,CZ,CZE,10649800,2020-06-28,66,14,Country_Website
Estonia,EE,EST,1324820,2020-06-28,5,1,Country_API
France,FR,FRA,67012883,2020-06-28,8727,594,Country_Website
Hungary,HU,HUN,9772756,2020-06-28,172,9,JRC
Iceland,IS,ISL,356991,2020-06-28,0,0,Surveillance
Ireland,IE,IRL,4904240,2020-06-28,20,11,Country_Website
Italy,IT,ITA,60359546,2020-06-28,1258,98,Country_Github
Latvia,LV,LVA,1919968,2020-06-28,7,,Surveillance
Luxembourg,LU,LUX,613894,2020-06-28,11,2,Country_Website
Malta,MT,MLT,493559,2020-06-28,,1,Surveillance
Netherlands,NL,NLD,17282163,2020-06-28,,41,Other Website
Poland,PL,POL,37972812,2020-06-28,1845,,Surveillance
Portugal,PT,PRT,10276617,2020-06-28,458,75,Country_Website
Romania,RO,ROU,19414458,2020-06-28,,217,Country_Website
Slovakia,SK,SVK,5450421,2020-06-28,15,,JRC
Slovenia,SI,SVN,2080908,2020-06-28,7,0,Country_Github
United Kingdom,UK,GBR,66647112,2020-06-28,3314,,Country_Website
Austria,AT,AUT,8858775,2020-06-27,71,10,Country_Website
Belgium,BE,BEL,11455519,2020-06-27,237,34,Country_Website
Bulgaria,BG,BGR,7000039,2020-06-27,392,18,External_Github
Croatia,HR,HRV,4076246,2020-06-27,54,,Country_Website
Czechia,CZ,CZE,10649800,2020-06-27,61,11,Country_Website
Estonia,EE,EST,1324820,2020-06-27,4,1,Country_API
France,FR,FRA,67012883,2020-06-27,8715,594,Country_Website
Hungary,HU,HUN,9772756,2020-06-27,174,11,JRC
Iceland,IS,ISL,356991,2020-06-27,0,0,Surveillance
Ireland,IE,IRL,4904240,2020-06-27,22,11,Country_Website
Italy,IT,ITA,60359546,2020-06-27,1357,97,Country_Github
Latvia,LV,LVA,1919968,2020-06-27,7,,Surveillance
Luxembourg,LU,LUX,613894,2020-06-27,13,1,Country_Website
Malta,MT,MLT,493559,2020-06-27,,1,Surveillance
Netherlands,NL,NLD,17282163,2020-06-27,,45,Other Website
Poland,PL,POL,37972812,2020-06-27,1869,,Surveillance
Portugal,PT,PRT,10276617,2020-06-27,442,70,Country_Website
Romania,RO,ROU,19414458,2020-06-27,,199,Country_Website
Slovakia,SK,SVK,5450421,2020-06-27,15,,JRC
Slovenia,SI,SVN,2080908,2020-06-27,8,0,Country_Github
United Kingdom,UK,GBR,66647112,2020-06-27,3290,,Country_Website
Austria,AT,AUT,8858775,2020-06-26,70,10,Country_Website
Belgium,BE,BEL,11455519,2020-06-26,247,36,Country_Website
Bulgaria,BG,BGR,7000039,2020-06-26,384,16,External_Github
Croatia,HR,HRV,4076246,2020-06-26,51,,Country_Website
Czechia,CZ,CZE,10649800,2020-06-26,63,10,Country_Website
Denmark,DK,DNK,5806081,2020-06-26,31,11,Country_Website
Estonia,EE,EST,1324820,2020-06-26,4,1,Country_API
Finland,FI,FIN,5517919,2020-06-26,24,1,External_Github
France,FR,FRA,67012883,2020-06-26,8841,606,Country_Website
Hungary,HU,HUN,9772756,2020-06-26,179,13,JRC
Iceland,IS,ISL,356991,2020-06-26,0,0,Surveillance
Ireland,IE,IRL,4904240,2020-06-26,26,12,Country_Website
Italy,IT,ITA,60359546,2020-06-26,1461,105,Country_Github
Latvia,LV,LVA,1919968,2020-06-26,8,,Surveillance
Luxembourg,LU,LUX,613894,2020-06-26,9,1,Country_Website
Malta,MT,MLT,493559,2020-06-26,,1,Surveillance
Netherlands,NL,NLD,17282163,2020-06-26,,50,Other Website
Norway,NO,NOR,5328212,2020-06-26,20,,Country_API
Poland,PL,POL,37972812,2020-06-26,1933,,Surveillance
Portugal,PT,PRT,10276617,2020-06-26,457,67,Country_Website
Romania,RO,ROU,19414458,2020-06-26,,186,Country_Website
Slovakia,SK,SVK,5450421,2020-06-26,14,,JRC
Slovenia,SI,SVN,2080908,2020-06-26,8,1,Country_Github
United Kingdom,UK,GBR,66647112,2020-06-26,3367,,Country_Website
Austria,AT,AUT,8858775,2020-06-25,71,11,Country_Website
Belgium,BE,BEL,11455519,2020-06-25,256,38,Country_Website
Bulgaria,BG,BGR,7000039,2020-06-25,390,16,External_Github
Croatia,HR,HRV,4076246,2020-06-25,42,,Country_Website
Czechia,CZ,CZE,10649800,2020-06-25,67,12,Country_Website
Denmark,DK,DNK,5806081,2020-06-25,36,9,Country_Website
Estonia,EE,EST,1324820,2020-06-25,5,1,Country_API
France,FR,FRA,67012883,2020-06-25,9096,623,Country_Website
Hungary,HU,HUN,9772756,2020-06-25,182,13,JRC
Iceland,IS,ISL,356991,2020-06-25,0,0,Surveillance
Ireland,IE,IRL,4904240,2020-06-25,30,12,Country_Website
Italy,IT,ITA,60359546,2020-06-25,1618,103,Country_Github
Latvia,LV,LVA,1919968,2020-06-25,8,,Surveillance
Luxembourg,LU,LUX,613894,2020-06-25,13,1,Country_Website
Malta,MT,MLT,493559,2020-06-25,,1,Surveillance
Netherlands,NL,NLD,17282163,2020-06-25,,56,Other Website
Norway,NO,NOR,5328212,2020-06-25,18,,Country_API
Poland,PL,POL,37972812,2020-06-25,1974,,Surveillance
Portugal,PT,PRT,10276617,2020-06-25,436,67,Country_Website
Romania,RO,ROU,19414458,2020-06-25,,199,Country_Website
Slovakia,SK,SVK,5450421,2020-06-25,20,,JRC
Slovenia,SI,SVN,2080908,2020-06-25,7,2,Country_Github
United Kingdom,UK,GBR,66647112,2020-06-25,3589,,Country_Website
Austria,AT,AUT,8858775,2020-06-24,70,11,Country_Website
Belgium,BE,BEL,11455519,2020-06-24,268,40,Country_Website
Bulgaria,BG,BGR,7000039,2020-06-24,362,13,External_Github
Croatia,HR,HRV,4076246,2020-06-24,18,,Country_Website
Czechia,CZ,CZE,10649800,2020-06-24,78,13,Country_Website
Denmark,DK,DNK,5806081,2020-06-24,33,8,Country_Website
Estonia,EE,EST,1324820,2020-06-24,7,2,Country_API
Finland,FI,FIN,5517919,2020-06-24,22,2,External_Github
France,FR,FRA,67012883,2020-06-24,9254,630,Country_Website
Hungary,HU,HUN,9772756,2020-06-24,183,13,JRC
Iceland,IS,ISL,356991,2020-06-24,0,0,Surveillance
Ireland,IE,IRL,4904240,2020-06-24,37,9,Country_Website
Italy,IT,ITA,60359546,2020-06-24,1717,107,Country_Github
Latvia,LV,LVA,1919968,2020-06-24,8,,Surveillance
Luxembourg,LU,LUX,613894,2020-06-24,13,0,Country_Website
Malta,MT,MLT,493559,2020-06-24,,1,Surveillance
Netherlands,NL,NLD,17282163,2020-06-24,,56,Other Website
Norway,NO,NOR,5328212,2020-06-24,16,,Country_API
Poland,PL,POL,37972812,2020-06-24,1965,,Surveillance
Portugal,PT,PRT,10276617,2020-06-24,429,73,Country_Website
Romania,RO,ROU,19414458,2020-06-24,,186,Country_Website
Slovakia,SK,SVK,5450421,2020-06-24,19,,JRC
Slovenia,SI,SVN,2080908,2020-06-24,7,2,Country_Github
United Kingdom,UK,GBR,66647112,2020-06-24,3737,,Country_Website
Austria,AT,AUT,8858775,2020-06-23,68,11,Country_Website
Belgium,BE,BEL,11455519,2020-06-23,281,41,Country_Website
Bulgaria,BG,BGR,7000039,2020-06-23,341,11,External_Github
Croatia,HR,HRV,4076246,2020-06-23,16,,Country_Website
Czechia,CZ,CZE,10649800,2020-06-23,76,9,Country_Website
Denmark,DK,DNK,5806081,2020-06-23,32,8,Country_Website
Estonia,EE,EST,1324820,2020-06-23,6,1,Country_API
France,FR,FRA,67012883,2020-06-23,9446,654,Country_Website
Hungary,HU,HUN,9772756,2020-06-23,183,14,JRC
Iceland,IS,ISL,356991,2020-06-23,0,0,Surveillance
Ireland,IE,IRL,4904240,2020-06-23,40,11,Country_Website
Italy,IT,ITA,60359546,2020-06-23,1968,115,Country_Github
Latvia,LV,LVA,1919968,2020-06-23,9,,Surveillance
Luxembourg,LU,LUX,613894,2020-06-23,11,0,Country_Website
Malta,MT,MLT,493559,2020-06-23,,1,Surveillance
Netherlands,NL,NLD,17282163,2020-06-23,,60,Other Website
Norway,NO,NOR,5328212,2020-06-23,12,,Country_API
Poland,PL,POL,37972812,2020-06-23,1936,,Surveillance
Portugal,PT,PRT,10276617,2020-06-23,441,72,Country_Website
Romania,RO,ROU,19414458,2020-06-23,,200,Country_Website
Slovakia,SK,SVK,5450421,2020-06-23,18,,JRC
Slovenia,SI,SVN,2080908,2020-06-23,5,1,Country_Github
United Kingdom,UK,GBR,66647112,2020-06-23,3846,,Country_Website
Belgium,BE,BEL,11455519,2020-06-22,293,42,Country_Website
Bulgaria,BG,BGR,7000039,2020-06-22,322,13,External_Github
Croatia,HR,HRV,4076246,2020-06-22,9,,Country_Website
Czechia,CZ,CZE,10649800,2020-06-22,75,9,Country_Website
Denmark,DK,DNK,5806081,2020-06-22,37,7,Country_Website
Estonia,EE,EST,1324820,2020-06-22,6,1,Country_API
Finland,FI,FIN,5517919,2020-06-22,21,2,External_Github
France,FR,FRA,67012883,2020-06-22,9648,673,Country_Website
Iceland,IS,ISL,356991,2020-06-22,0,0,Surveillance
Ireland,IE,IRL,4904240,2020-06-22,43,16,Country_Website
Italy,IT,ITA,60359546,2020-06-22,2165,127,Country_Github
Latvia,LV,LVA,1919968,2020-06-22,9,,Surveillance
Luxembourg,LU,LUX,613894,2020-06-22,15,1,Country_Website
Malta,MT,MLT,493559,2020-06-22,,1,Surveillance
